extended	country	region	crit1	crit2	crit3	attacktype1	targtype1	targsubtype1	weaptype1	weapsubtype1
0	95	10	1	1	1	3	1	2	6	16
0	95	10	1	1	1	3	14	67	6	16
0	95	10	1	1	1	3	1	11	6	16
0	95	10	1	1	0	1	4	34	6	16
0	95	10	1	1	1	3	14	67	6	17
0	92	6	1	1	1	7	1	12	8	18
0	228	10	1	1	0	2	4	35	5	5
0	214	9	1	1	1	3	1	1	6	16
1	113	10	1	1	1	6	14	69	5	5
0	113	10	1	1	1	5	4	34	5	5
0	160	5	1	1	0	2	4	29	5	5
0	160	5	1	1	0	2	4	29	5	5
0	4	6	1	1	1	3	7	46	6	7
1	4	6	1	1	1	6	3	25	5	5
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
0	95	10	1	1	1	9	14	75	13	0
0	4	6	1	1	0	3	4	35	6	29
0	153	6	1	1	1	3	21	106	6	16
0	153	6	1	1	1	3	20	0	6	16
0	200	10	1	0	1	3	2	21	6	15
0	123	11	1	1	1	1	2	15	5	5
0	147	11	1	1	1	2	2	21	5	5
0	147	11	1	1	0	2	4	27	5	5
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	2	14	75	5	5
0	4	6	1	1	1	2	14	77	5	5
0	4	6	1	1	1	2	2	20	5	5
0	4	6	1	1	1	7	2	20	8	18
0	92	6	1	1	0	3	4	29	6	10
0	200	10	1	1	1	2	4	34	6	11
0	228	10	1	1	1	3	4	35	6	16
0	228	10	1	1	1	3	14	78	6	13
0	228	10	1	1	1	2	3	25	5	5
0	153	6	1	1	0	2	4	34	5	4
0	153	6	1	1	1	7	14	77	8	18
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	213	11	1	1	1	2	15	85	5	5
0	95	10	1	1	1	3	14	67	6	15
0	95	10	1	1	1	3	19	99	6	29
0	95	10	1	1	1	1	2	15	6	15
0	95	10	1	1	1	3	14	74	6	16
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	14	67	6	16
0	95	10	1	1	1	3	14	76	6	11
0	153	6	1	1	1	3	14	78	6	15
0	60	10	1	1	1	3	20	0	6	16
0	228	10	1	1	1	3	10	55	6	16
0	228	10	1	1	0	1	4	34	5	5
0	214	9	1	1	1	3	14	83	6	16
0	182	11	1	1	1	3	4	29	6	15
1	153	6	1	1	1	6	2	18	5	5
1	153	6	1	1	1	6	14	68	5	5
0	19	6	1	1	1	3	10	53	6	17
0	4	6	1	1	1	2	17	94	5	5
0	4	6	1	1	1	1	2	14	5	5
0	153	6	1	1	1	3	14	78	6	16
0	153	6	1	1	1	1	14	84	5	5
0	153	6	1	1	0	3	4	34	6	12
0	153	6	1	1	1	9	12	61	13	0
1	95	10	1	1	1	6	2	18	13	0
0	95	10	1	1	0	9	4	36	13	0
0	95	10	1	1	1	2	4	27	6	11
0	19	6	1	1	1	1	14	84	6	17
0	123	11	1	1	1	3	7	47	6	8
0	123	11	1	1	1	7	7	47	8	18
0	182	11	1	1	0	9	4	27	13	0
0	4	6	1	1	1	1	3	25	6	16
0	4	6	1	1	1	3	3	25	6	16
0	4	6	1	1	1	2	3	25	5	5
0	4	6	1	1	1	2	3	25	5	5
0	4	6	1	1	1	3	14	67	6	8
0	92	6	1	1	1	6	14	113	5	5
1	113	10	0	1	1	6	8	48	13	0
0	228	10	1	1	1	2	2	18	5	5
0	19	6	1	1	1	3	1	7	6	17
0	19	6	1	1	1	3	20	0	6	17
0	160	5	1	1	0	2	4	34	5	5
0	214	9	1	1	0	2	4	34	6	11
0	214	9	1	1	0	2	4	34	6	11
0	214	9	1	1	0	2	4	34	6	11
0	214	9	1	1	0	2	4	27	6	11
0	60	10	1	1	1	2	3	24	5	5
1	60	10	1	1	1	6	14	68	9	23
0	60	10	1	1	1	3	20	0	6	16
0	95	10	1	1	1	3	14	74	6	16
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	4	34	6	17
0	95	10	1	1	1	3	8	49	6	16
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
1	95	10	1	1	1	6	14	67	13	0
0	95	10	1	1	1	9	4	34	13	0
1	95	10	1	1	1	5	14	67	13	0
0	173	10	1	1	1	3	3	23	6	13
0	60	10	1	1	1	3	3	25	6	16
0	214	9	1	1	1	3	20	0	6	7
0	214	9	1	1	1	3	20	0	6	7
0	214	9	1	1	1	7	14	83	8	18
0	4	6	1	1	1	3	7	47	6	15
0	4	6	1	1	1	1	3	25	6	15
0	153	6	1	1	1	3	20	0	6	16
0	153	6	1	1	1	3	21	106	6	16
0	153	6	1	1	1	3	3	25	6	8
0	153	6	1	1	1	3	14	77	6	16
0	4	6	1	1	0	3	4	37	6	15
0	4	6	1	1	1	3	4	34	6	16
0	123	11	1	1	0	2	4	27	5	5
0	182	11	1	1	1	6	15	85	9	23
0	4	6	1	1	1	3	2	21	6	13
1	228	10	1	1	1	6	14	67	13	0
0	228	10	1	1	1	3	21	108	6	16
0	228	10	1	1	1	1	17	93	6	16
0	19	6	1	1	1	7	22	110	8	18
0	19	6	1	1	1	3	20	0	6	17
0	113	10	1	1	0	9	4	34	13	0
0	4	6	1	1	0	3	4	35	6	16
0	4	6	1	1	1	9	3	22	13	0
0	160	5	1	1	1	2	2	15	5	5
0	160	5	0	1	1	2	2	15	5	5
0	4	6	1	1	0	2	4	29	5	5
0	19	6	1	1	1	3	14	70	6	17
1	60	10	1	1	1	6	14	67	13	0
0	603	8	1	1	1	2	14	68	5	5
0	32	9	1	1	1	7	15	86	8	20
0	60	10	1	1	1	3	3	22	6	13
0	60	10	1	1	1	3	1	1	6	16
0	60	10	1	1	1	2	3	25	5	2
0	209	10	1	1	1	3	3	22	6	13
0	228	10	1	1	1	1	14	84	5	5
0	4	6	1	1	1	3	14	76	6	11
0	34	11	0	1	1	5	22	109	5	2
0	153	6	1	1	1	2	3	22	5	5
0	4	6	1	1	1	7	2	18	8	18
1	153	6	1	1	1	6	3	25	5	5
0	153	6	1	1	1	2	14	69	5	5
0	95	10	1	1	1	3	14	74	6	16
0	95	10	1	1	1	3	17	94	6	16
0	95	10	1	1	1	3	14	67	6	16
0	95	10	1	1	0	3	4	36	6	11
0	95	10	1	1	1	3	4	34	6	13
0	95	10	1	1	0	3	4	36	6	15
0	217	1	0	1	1	3	1	0	6	17
0	200	10	1	1	1	9	14	75	13	0
0	182	11	1	1	1	6	14	113	5	5
1	160	5	1	1	1	6	14	68	5	5
0	92	6	1	1	1	7	1	12	8	18
0	92	6	1	1	1	7	2	15	5	5
0	195	11	1	1	1	2	7	47	5	5
0	195	11	1	1	1	2	7	47	5	5
0	160	5	1	1	1	1	2	15	6	11
0	4	6	1	1	1	3	19	105	6	16
0	4	6	1	1	1	7	16	0	8	18
0	4	6	1	1	1	9	8	49	13	0
0	147	11	0	1	1	2	14	84	5	5
1	113	10	1	1	1	6	14	77	13	0
0	69	8	1	1	1	5	10	53	6	11
0	69	8	1	1	1	2	14	67	5	2
0	4	6	1	1	1	3	3	22	6	13
0	228	10	1	1	1	3	3	22	6	15
0	69	8	1	1	1	2	15	86	5	5
0	200	10	1	1	1	3	15	87	6	16
0	4	6	1	1	1	1	2	14	6	29
1	4	6	1	1	1	6	1	12	5	5
0	95	10	1	1	0	3	4	34	6	15
0	95	10	1	1	1	3	14	74	6	16
0	95	10	1	1	1	3	14	67	6	16
0	95	10	1	1	1	3	14	67	6	16
0	95	10	1	1	1	3	14	79	6	16
0	95	10	1	1	0	2	4	36	5	5
0	160	5	1	1	1	2	2	19	5	5
0	123	11	1	1	1	2	2	21	5	5
0	182	11	1	1	1	6	14	67	5	5
0	182	11	1	1	1	7	1	7	8	18
0	182	11	1	1	1	3	8	48	6	29
0	4	6	1	1	1	3	3	23	6	16
0	4	6	1	1	1	1	17	94	6	16
0	4	6	1	1	1	2	3	25	5	5
0	160	5	1	1	1	3	1	9	6	17
0	153	6	1	1	1	2	1	7	5	5
0	4	6	1	1	0	3	4	34	6	16
0	4	6	1	1	1	3	3	22	6	15
0	113	10	1	1	1	7	2	15	8	18
0	19	6	1	1	1	3	22	111	6	17
0	147	11	1	1	1	1	14	84	13	0
1	60	10	1	1	1	6	14	67	5	5
1	147	11	1	1	1	6	14	75	6	11
1	147	11	1	1	1	6	14	75	5	5
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	75	6	11
0	4	6	1	1	1	3	20	0	6	13
0	147	11	1	1	1	2	14	75	6	11
0	147	11	1	1	1	2	14	67	5	5
0	147	11	1	1	1	2	14	67	5	5
0	60	10	1	1	1	3	3	22	6	16
0	153	6	1	1	1	3	20	0	6	17
